,titles,images,ratings,prices
0,"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",https://m.media-amazon.com/images/I/71wKJVtV-+L._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
1,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",https://m.media-amazon.com/images/I/61TGRBGTNzL._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
2,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 6, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71jnvo71a9L._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
3,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,3.9 out of 5 stars,$181.
4,"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage; Space Gray",https://m.media-amazon.com/images/I/61lsexTCOhL._AC_UY218_.jpg,4.6 out of 5 stars,No Price mentioned
5,"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",https://m.media-amazon.com/images/I/719yYrijeKL._AC_UY218_.jpg,4.0 out of 5 stars,$501.
6,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",https://m.media-amazon.com/images/I/61oAh3XrX+L._AC_UY218_.jpg,4.2 out of 5 stars,$427.
7,"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey",https://m.media-amazon.com/images/I/616aCuRtnpL._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
8,"HP Newest 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 64GB RAM, 2TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",https://m.media-amazon.com/images/I/71Ixk-aiC+L._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
9,"Lenovo Newest V15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel Core i5-13420H (Beat i7-1355U), 16GB RAM, 1TB SSD, HDMI, RJ45, Webcam, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",https://m.media-amazon.com/images/I/71N9tTF6pML._AC_UY218_.jpg,4.0 out of 5 stars,No Price mentioned
10,"Dell Inspiron Touchscreen Laptop (15.6"" FHD Touch, Intel Core i5-1155G7, 16GB RAM, 512GB SSD) for Business, Students, Enterprises, Numeric Keypad, Narrow-Bezel, Webcam, Win 11 Pro, Carbon Black",https://m.media-amazon.com/images/I/71rk+Xg08PL._AC_UY218_.jpg,4.8 out of 5 stars,$528.
11,"Samsung 16"" Galaxy Book4 Pro Business Laptop, Wi-Fi PC Computer, Windows 11 PRO, Intel Core 7 Ultra 155H / 32GB / 1TB, 3K AMOLED Touchscreen, 2024 Model, NP964XGK-KG1US, Moonstone Gray",https://m.media-amazon.com/images/I/71ysHVMH4FL._AC_UY218_.jpg,4.5 out of 5 stars,"$1,782."
12,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue",https://m.media-amazon.com/images/I/61KlKRdsQ7L._AC_UY218_.jpg,4.3 out of 5 stars,$207.
13,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Platinum Grey",https://m.media-amazon.com/images/I/81M05PyYgYL._AC_UY218_.jpg,4.3 out of 5 stars,$326.
14,"Apple 2023 MacBook Pro Laptop M3 Pro chip with 11‑core CPU, 14‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage; Silver",https://m.media-amazon.com/images/I/61SdxEONyuL._AC_UY218_.jpg,4.7 out of 5 stars,No Price mentioned
