Product Name,Username,Date,Comment,Feedback Type
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,n***m (15),Past 6 months,Bought to replace the charger for my girlfriend's 2013 MacBook Pro. For whatever reason Apple chose to make the cords of these chargers out of a rubbery material that becomes brittle and prone to flaking off the bare wire and creating a fire hazard.,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,y***c (116),Past 6 months,Thanks for the charger! As described and using it right now on my 2015 Retina Macbook. Work's great! Quick shipping too. Much appreciated.,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,c***c (234),Past month,Great seller!,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,m***o (582),Past 6 months,"Pleasure to do business with, again. A+++++",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,n***s (108),Past year,Thank you!!!,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,m***o (582),Past year,Fast shipping. Exactly as described. I would buy from again. A++++,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,s***j (31),More than a year ago,"Good product, work perfectly, fast delivery and excellent packaging",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,s***o (156),More than a year ago,Wonderful! Exactly what we needed. Works perfectly! A+ Highly recommended. Super fast shipping!!,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,z***a (41),More than a year ago,"Great Experience. Fast shipping, works great! Nicer than the clunky original.",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,c***r (239),More than a year ago,"Arrived Quickly,works well.Thank you!",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,a***c,More than a year ago,GOOD SELLER,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,e***3,More than a year ago,"Didn't realize it was a knockoff product, but quality seems to be good so far.",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,w***y (146),More than a year ago,"Plugged it in and it works! Fast delivery, too. Thank you so much!",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,2***j (1743),More than a year ago,Thanks Again VERY GOOD SELLER A+++++++++++++++++++++++,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,0***c (56),More than a year ago,"Fast shipping, less than 1 week to Montreal. As described. Works really well!",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,e***e (379),More than a year ago,Product as described works great.,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,o***n (406),More than a year ago,"Perfect quality, reasonable price. A pleasure to deal with",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,g***g (4),More than a year ago,"Exactly as described, works exactly as expected",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,o***g (3),More than a year ago,The product came quickly and worked well.,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,t***j (3039),More than a year ago,"As listed, nice quality, fast shipping!!!!!",positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,a***z (374),More than a year ago,Works great. Great price. Thank you!,positive
85W Power Adapter for Apple MagSafe 2 II Macbook Pro A1424 Charger,c***r (43),More than a year ago,"Exactly as advertised, works perfectly, and very fast shipping! Thank you!",positive
